Waktu PC,Waktu MCU (ms),Perangkat,Jenis Komunikasi,Pesan
13:00:20.244,N/A,Unknown,RX,ets Jul 29 2019 12:21:46
13:00:20.249,N/A,Unknown,RX,"rst:0x1 (POWERON_RESET),boot:0x13 (SPI_FAST_FLASH_BOOT)"
13:00:20.252,N/A,Unknown,RX,"configsip: 0, SPIWP:0xee"
13:00:20.258,N/A,Unknown,RX,"clk_drv:0x00,q_drv:0x00,d_drv:0x00,cs0_drv:0x00,hd_drv:0x00,wp_drv:0x00"
13:00:20.260,N/A,Unknown,RX,"mode:DIO, clock div:2"
13:00:20.262,N/A,Unknown,RX,"load:0x3fff0030,len:1184"
13:00:20.264,N/A,Unknown,RX,"load:0x40078000,len:13232"
13:00:20.267,N/A,Unknown,RX,"load:0x40080400,len:3028"
13:00:20.269,N/A,Unknown,RX,entry 0x400805e4
13:00:21.293,N/A,Unknown,RX,[INFO] Gamepad Controller Diinisialisasi. Menunggu koneksi PS3 di MAC: 00:70:07:26:53:2E
13:00:21.717,1003,ESP32,RX,Loop rate core1: 130 Hz
13:00:22.719,2005,ESP32,RX,Loop rate core1: 143 Hz
13:00:22.721,2005,ESP32,RX,core 1 is alive
13:00:22.726,2014,ESP32,RX,core 0 is alive
13:00:23.719,3005,ESP32,RX,Loop rate core1: 143 Hz
13:00:24.719,4005,ESP32,RX,Loop rate core1: 143 Hz
13:00:24.721,4005,ESP32,RX,core 1 is alive
13:00:24.736,4024,ESP32,RX,core 0 is alive
13:00:25.720,5006,ESP32,RX,Loop rate core1: 143 Hz
13:00:26.721,6007,ESP32,RX,Loop rate core1: 143 Hz
13:00:26.723,6007,ESP32,RX,core 1 is alive
13:00:26.746,6034,ESP32,RX,core 0 is alive
13:00:27.721,7007,ESP32,RX,Loop rate core1: 143 Hz
13:00:28.721,8007,ESP32,RX,Loop rate core1: 143 Hz
13:00:28.723,8007,ESP32,RX,core 1 is alive
13:00:28.756,8044,ESP32,RX,core 0 is alive
13:00:29.721,9007,ESP32,RX,Loop rate core1: 143 Hz
13:00:30.722,10008,ESP32,RX,Loop rate core1: 143 Hz
13:00:30.724,10008,ESP32,RX,core 1 is alive
13:00:30.766,10054,ESP32,RX,core 0 is alive
13:00:31.723,11009,ESP32,RX,Loop rate core1: 143 Hz
13:00:32.723,12009,ESP32,RX,Loop rate core1: 143 Hz
13:00:32.726,12009,ESP32,RX,core 1 is alive
13:00:32.776,12064,ESP32,RX,core 0 is alive
13:00:33.723,13009,ESP32,RX,Loop rate core1: 143 Hz
13:00:34.724,14010,ESP32,RX,Loop rate core1: 143 Hz
13:00:34.726,14010,ESP32,RX,core 1 is alive
13:00:34.786,14074,ESP32,RX,core 0 is alive
13:00:35.724,15010,ESP32,RX,Loop rate core1: 143 Hz
13:00:36.725,16011,ESP32,RX,Loop rate core1: 143 Hz
13:00:36.727,16011,ESP32,RX,core 1 is alive
13:00:36.796,16084,ESP32,RX,core 0 is alive
13:00:37.725,17011,ESP32,RX,Loop rate core1: 143 Hz
13:00:38.726,18012,ESP32,RX,Loop rate core1: 143 Hz
13:00:38.728,18012,ESP32,RX,core 1 is alive
13:00:38.806,18094,ESP32,RX,core 0 is alive
13:00:39.726,19012,ESP32,RX,Loop rate core1: 143 Hz
13:00:40.726,20012,ESP32,RX,Loop rate core1: 143 Hz
13:00:40.728,20012,ESP32,RX,core 1 is alive
13:00:40.817,20104,ESP32,RX,core 0 is alive
13:00:41.726,21013,ESP32,RX,Loop rate core1: 143 Hz
13:00:42.727,22013,ESP32,RX,Loop rate core1: 143 Hz
13:00:42.729,22013,ESP32,RX,core 1 is alive
13:00:42.826,22114,ESP32,RX,core 0 is alive
13:00:43.727,23014,ESP32,RX,Loop rate core1: 143 Hz
13:00:44.728,24014,ESP32,RX,Loop rate core1: 143 Hz
13:00:44.730,24014,ESP32,RX,core 1 is alive
13:00:44.836,24124,ESP32,RX,core 0 is alive
13:00:45.727,25014,ESP32,RX,Loop rate core1: 143 Hz
13:00:46.728,26015,ESP32,RX,Loop rate core1: 143 Hz
13:00:46.730,26015,ESP32,RX,core 1 is alive
13:00:46.846,26134,ESP32,RX,core 0 is alive
13:00:47.730,27016,ESP32,RX,Loop rate core1: 143 Hz
13:00:48.730,28016,ESP32,RX,Loop rate core1: 143 Hz
13:00:48.732,28016,ESP32,RX,core 1 is alive
13:00:48.856,28144,ESP32,RX,core 0 is alive
13:00:49.732,29018,ESP32,RX,Loop rate core1: 143 Hz
