Waktu PC,Waktu MCU (ms),Perangkat,Jenis Komunikasi,Pesan
13:48:58.894,N/A,Unknown,RX,ets Jul 29 2019 12:21:46
13:48:58.899,N/A,Unknown,RX,"rst:0x1 (POWERON_RESET),boot:0x13 (SPI_FAST_FLASH_BOOT)"
13:48:58.901,N/A,Unknown,RX,"configsip: 0, SPIWP:0xee"
13:48:58.908,N/A,Unknown,RX,"clk_drv:0x00,q_drv:0x00,d_drv:0x00,cs0_drv:0x00,hd_drv:0x00,wp_drv:0x00"
13:48:58.910,N/A,Unknown,RX,"mode:DIO, clock div:2"
13:48:58.912,N/A,Unknown,RX,"load:0x3fff0030,len:1184"
13:48:58.914,N/A,Unknown,RX,"load:0x40078000,len:13232"
13:48:58.916,N/A,Unknown,RX,"load:0x40080400,len:3028"
13:48:58.918,N/A,Unknown,RX,entry 0x400805e4
13:48:59.867,505,ESP32,RX,UART sent
13:48:59.961,N/A,Unknown,RX,[INFO] Gamepad Controller Diinisialisasi. Menunggu koneksi PS3 di MAC: 00:70:07:26:53:2E
13:48:59.963,594,ESP32,RX, ms
13:49:00.365,1001,ESP32,RX,Loop rate core1: 129 Hz
13:49:00.372,1010,ESP32,RX,UART sent
13:49:00.456,1094,ESP32,RX, ms
13:49:00.877,1516,ESP32,RX,UART sent
13:49:00.962,1600,ESP32,RX, ms
13:49:01.363,2001,ESP32,RX,core 1 is alive
13:49:01.365,2002,ESP32,RX,core 0 is alive
13:49:01.372,2008,ESP32,RX,Loop rate core1: 143 Hz
13:49:01.379,2017,ESP32,RX,UART sent
13:49:01.463,2101,ESP32,RX, ms
13:49:01.885,2523,ESP32,RX,UART sent
13:49:01.969,2607,ESP32,RX, ms
13:49:02.377,3014,ESP32,RX,Loop rate core1: 143 Hz
13:49:02.385,3023,ESP32,RX,UART sent
13:49:02.469,3107,ESP32,RX, ms
13:49:02.891,3529,ESP32,RX,UART sent
13:49:02.975,3613,ESP32,RX, ms
13:49:03.367,4005,ESP32,RX,core 1 is alive
13:49:03.374,4012,ESP32,RX,core 0 is alive
13:49:03.383,4019,ESP32,RX,Loop rate core1: 143 Hz
13:49:03.396,4035,ESP32,RX,UART sent
13:49:03.481,4119,ESP32,RX, ms
13:49:03.903,4541,ESP32,RX,UART sent
13:49:03.987,4625,ESP32,RX, ms
13:49:04.388,5025,ESP32,RX,Loop rate core1: 143 Hz
13:49:04.403,5041,ESP32,RX,UART sent
13:49:04.492,5130,ESP32,RX, ms
13:49:04.907,5545,ESP32,RX,UART sent
13:49:04.991,5629,ESP32,RX, ms
13:49:05.371,6009,ESP32,RX,core 1 is alive
13:49:05.384,6022,ESP32,RX,core 0 is alive
13:49:05.394,6030,ESP32,RX,Loop rate core1: 143 Hz
13:49:05.407,6046,ESP32,RX,UART sent
13:49:05.492,6130,ESP32,RX, ms
13:49:05.913,6552,ESP32,RX,UART sent
13:49:05.998,6636,ESP32,RX, ms
13:49:06.400,7036,ESP32,RX,Loop rate core1: 143 Hz
13:49:06.413,7052,ESP32,RX,UART sent
13:49:06.498,7136,ESP32,RX, ms
13:49:06.919,7558,ESP32,RX,UART sent
13:49:07.004,7642,ESP32,RX, ms
13:49:07.377,8015,ESP32,RX,core 1 is alive
13:49:07.394,8032,ESP32,RX,core 0 is alive
13:49:07.407,8043,ESP32,RX,Loop rate core1: 143 Hz
13:49:07.421,8059,ESP32,RX,UART sent
13:49:07.505,8143,ESP32,RX, ms
13:49:07.926,8565,ESP32,RX,UART sent
13:49:08.011,8649,ESP32,RX, ms
13:49:08.412,9048,ESP32,RX,Loop rate core1: 143 Hz
13:49:08.432,9071,ESP32,RX,UART sent
13:49:08.517,9155,ESP32,RX, ms
13:49:08.939,9577,ESP32,RX,UART sent
13:49:09.023,9661,ESP32,RX, ms
13:49:09.382,10020,ESP32,RX,core 1 is alive
13:49:09.404,10042,ESP32,RX,core 0 is alive
13:49:09.419,10055,ESP32,RX,Loop rate core1: 143 Hz
13:49:09.439,10078,ESP32,RX,UART sent
13:49:09.524,10162,ESP32,RX, ms
13:49:09.946,10584,ESP32,RX,UART sent
13:49:10.030,10668,ESP32,RX, ms
13:49:10.425,11061,ESP32,RX,Loop rate core1: 143 Hz
13:49:10.451,11090,ESP32,RX,UART sent
13:49:10.536,11174,ESP32,RX, ms
13:49:10.958,11596,ESP32,RX,UART sent
13:49:11.042,11680,ESP32,RX, ms
13:49:11.387,12025,ESP32,RX,core 1 is alive
13:49:11.414,12052,ESP32,RX,core 0 is alive
13:49:11.430,12067,ESP32,RX,Loop rate core1: 143 Hz
13:49:11.458,12096,ESP32,RX,UART sent
13:49:11.542,12180,ESP32,RX, ms
13:49:11.963,12602,ESP32,RX,UART sent
13:49:12.055,12693,ESP32,RX, ms
13:49:12.436,13072,ESP32,RX,Loop rate core1: 143 Hz
13:49:12.463,13102,ESP32,RX,UART sent
13:49:12.555,13193,ESP32,RX, ms
13:49:12.969,13608,ESP32,RX,UART sent
13:49:13.061,13699,ESP32,RX, ms
13:49:13.392,14030,ESP32,RX,core 1 is alive
13:49:13.424,14062,ESP32,RX,core 0 is alive
13:49:13.442,14079,ESP32,RX,Loop rate core1: 143 Hz
13:49:13.470,14109,ESP32,RX,UART sent
13:49:13.562,14200,ESP32,RX, ms
13:49:13.976,14615,ESP32,RX,UART sent
13:49:14.068,14706,ESP32,RX, ms
13:49:14.449,15085,ESP32,RX,Loop rate core1: 143 Hz
13:49:14.477,15115,ESP32,RX,UART sent
13:49:14.561,15199,ESP32,RX, ms
13:49:14.982,15621,ESP32,RX,UART sent
13:49:15.067,15705,ESP32,RX, ms
13:49:15.398,16036,ESP32,RX,core 1 is alive
13:49:15.434,16072,ESP32,RX,core 0 is alive
13:49:15.455,16092,ESP32,RX,Loop rate core1: 143 Hz
13:49:15.483,16122,ESP32,RX,UART sent
13:49:15.568,16206,ESP32,RX, ms
13:49:15.990,16628,ESP32,RX,UART sent
13:49:16.074,16712,ESP32,RX, ms
13:49:16.461,17098,ESP32,RX,Loop rate core1: 143 Hz
13:49:16.489,17128,ESP32,RX,UART sent
13:49:16.574,17212,ESP32,RX, ms
13:49:16.995,17634,ESP32,RX,UART sent
13:49:17.080,17718,ESP32,RX, ms
13:49:17.403,18040,ESP32,RX,core 1 is alive
13:49:17.444,18082,ESP32,RX,core 0 is alive
13:49:17.467,18104,ESP32,RX,Loop rate core1: 143 Hz
13:49:17.495,18134,ESP32,RX,UART sent
13:49:17.580,18218,ESP32,RX, ms
13:49:18.001,18640,ESP32,RX,UART sent
13:49:18.086,18724,ESP32,RX, ms
13:49:18.474,19110,ESP32,RX,Loop rate core1: 143 Hz
13:49:18.501,19140,ESP32,RX,UART sent
13:49:18.586,19224,ESP32,RX, ms
13:49:19.007,19646,ESP32,RX,UART sent
13:49:19.092,19730,ESP32,RX, ms
13:49:19.409,20047,ESP32,RX,core 1 is alive
13:49:19.454,20092,ESP32,RX,core 0 is alive
13:49:19.480,20117,ESP32,RX,Loop rate core1: 143 Hz
13:49:19.508,20147,ESP32,RX,UART sent
13:49:19.593,20231,ESP32,RX, ms
13:49:20.014,20653,ESP32,RX,UART sent
13:49:20.099,20737,ESP32,RX, ms
13:49:20.486,21123,ESP32,RX,Loop rate core1: 143 Hz
13:49:20.514,21153,ESP32,RX,UART sent
13:49:20.599,21237,ESP32,RX, ms
13:49:21.020,21659,ESP32,RX,UART sent
13:49:21.105,21743,ESP32,RX, ms
13:49:21.413,22050,ESP32,RX,core 1 is alive
13:49:21.464,22102,ESP32,RX,core 0 is alive
13:49:21.491,22128,ESP32,RX,Loop rate core1: 143 Hz
13:49:21.526,22165,ESP32,RX,UART sent
13:49:21.618,22256,ESP32,RX, ms
13:49:22.032,22671,ESP32,RX,UART sent
13:49:22.123,22762,ESP32,RX, ms
13:49:22.497,23134,ESP32,RX,Loop rate core1: 143 Hz
13:49:22.532,23171,ESP32,RX,UART sent
13:49:22.615,23253,ESP32,RX, ms
13:49:23.036,23675,ESP32,RX,UART sent
13:49:23.121,23759,ESP32,RX, ms
13:49:23.417,24054,ESP32,RX,core 1 is alive
13:49:23.474,24112,ESP32,RX,core 0 is alive
13:49:23.502,24139,ESP32,RX,Loop rate core1: 143 Hz
13:49:23.537,24176,ESP32,RX,UART sent
13:49:23.622,24260,ESP32,RX, ms
