Waktu PC,Waktu MCU (ms),Perangkat,Jenis Komunikasi,Pesan
10:15:41.304,N/A,Unknown,RX,blink: 0
10:15:42.306,N/A,Unknown,RX,blink: 1
10:15:43.309,N/A,Unknown,RX,blink: 2
10:15:44.311,N/A,Unknown,RX,blink: 3
10:15:45.314,N/A,Unknown,RX,blink: 4
10:15:46.316,N/A,Unknown,RX,blink: 5
10:15:47.318,N/A,Unknown,RX,blink: 6
10:15:48.321,N/A,Unknown,RX,blink: 7
10:15:49.323,N/A,Unknown,RX,blink: 8
10:15:50.326,N/A,Unknown,RX,blink: 9
10:15:51.329,N/A,Unknown,RX,blink: 10
10:15:52.332,N/A,Unknown,RX,blink: 11
10:15:53.334,N/A,Unknown,RX,blink: 12
10:15:54.337,N/A,Unknown,RX,blink: 13
10:15:55.339,N/A,Unknown,RX,blink: 14
10:15:56.342,N/A,Unknown,RX,blink: 15
10:15:57.344,N/A,Unknown,RX,blink: 16
10:15:58.347,N/A,Unknown,RX,blink: 17
10:15:59.349,N/A,Unknown,RX,blink: 18
10:16:00.351,N/A,Unknown,RX,blink: 19
10:16:01.354,N/A,Unknown,RX,blink: 20
10:16:02.356,N/A,Unknown,RX,blink: 21
10:16:03.359,N/A,Unknown,RX,blink: 22
10:16:04.361,N/A,Unknown,RX,blink: 23
10:16:05.364,N/A,Unknown,RX,blink: 24
10:16:06.366,N/A,Unknown,RX,blink: 25
10:16:06.992,N/A,PC,TX,hrtdhtt
10:16:07.369,N/A,Unknown,RX,blink: 26
10:16:08.371,N/A,Unknown,RX,blink: 27
10:16:09.374,N/A,Unknown,RX,blink: 28
10:16:10.376,N/A,Unknown,RX,blink: 29
10:16:11.379,N/A,Unknown,RX,blink: 30
10:16:12.381,N/A,Unknown,RX,blink: 31
10:16:13.384,N/A,Unknown,RX,blink: 32
10:16:14.386,N/A,Unknown,RX,blink: 33
10:16:15.389,N/A,Unknown,RX,blink: 34
10:16:16.391,N/A,Unknown,RX,blink: 35
10:16:17.394,N/A,Unknown,RX,blink: 36
10:16:18.396,N/A,Unknown,RX,blink: 37
10:16:19.399,N/A,Unknown,RX,blink: 38
10:16:20.401,N/A,Unknown,RX,blink: 39
10:16:21.403,N/A,Unknown,RX,blink: 40
10:16:22.406,N/A,Unknown,RX,blink: 41
10:16:23.408,N/A,Unknown,RX,blink: 42
10:16:24.411,N/A,Unknown,RX,blink: 43
10:16:25.414,N/A,Unknown,RX,blink: 44
10:16:26.416,N/A,Unknown,RX,blink: 45
10:16:27.418,N/A,Unknown,RX,blink: 46
10:16:28.421,N/A,Unknown,RX,blink: 47
10:16:29.423,N/A,Unknown,RX,blink: 48
10:16:30.426,N/A,Unknown,RX,blink: 49
10:16:31.428,N/A,Unknown,RX,blink: 50
10:16:32.431,N/A,Unknown,RX,blink: 51
10:16:33.433,N/A,Unknown,RX,blink: 52
10:16:34.436,N/A,Unknown,RX,blink: 53
10:16:35.438,N/A,Unknown,RX,blink: 54
10:16:36.441,N/A,Unknown,RX,blink: 55
10:16:37.443,N/A,Unknown,RX,blink: 56
10:16:38.446,N/A,Unknown,RX,blink: 57
10:16:39.448,N/A,Unknown,RX,blink: 58
10:16:40.451,N/A,Unknown,RX,blink: 59
10:16:41.454,N/A,Unknown,RX,blink: 60
