Waktu PC,Waktu MCU (ms),Perangkat,Jenis Komunikasi,Pesan
15:31:35.435,N/A,Unknown,RX,ets Jul 29 2019 12:21:46
15:31:35.440,N/A,Unknown,RX,"rst:0x1 (POWERON_RESET),boot:0x13 (SPI_FAST_FLASH_BOOT)"
15:31:35.442,N/A,Unknown,RX,"configsip: 0, SPIWP:0xee"
15:31:35.449,N/A,Unknown,RX,"clk_drv:0x00,q_drv:0x00,d_drv:0x00,cs0_drv:0x00,hd_drv:0x00,wp_drv:0x00"
15:31:35.451,N/A,Unknown,RX,"mode:DIO, clock div:2"
15:31:35.453,N/A,Unknown,RX,"load:0x3fff0030,len:1184"
15:31:35.455,N/A,Unknown,RX,"load:0x40078000,len:13232"
15:31:35.458,N/A,Unknown,RX,"load:0x40080400,len:3028"
15:31:35.460,N/A,Unknown,RX,entry 0x400805e4
15:31:36.405,502,ESP32,RX,UART sent
15:31:36.501,N/A,Unknown,RX,[INFO] Gamepad Controller Diinisialisasi. Menunggu koneksi PS3 di MAC: 00:70:07:26:53:2E
15:31:36.909,1006,ESP32,RX,UART sent
15:31:36.912,1007,ESP32,RX,Loop rate core1: 130 Hz
15:31:37.412,1509,ESP32,RX,UART sent
15:31:37.905,2002,ESP32,RX,core 0 is alive
15:31:37.910,2006,ESP32,RX,core 1 is alive
15:31:37.916,2013,ESP32,RX,UART sent
15:31:37.919,2013,ESP32,RX,Loop rate core1: 144 Hz
15:31:38.421,2518,ESP32,RX,UART sent
15:31:38.919,3015,ESP32,RX,Loop rate core1: 143 Hz
15:31:38.925,3022,ESP32,RX,UART sent
15:31:39.429,3526,ESP32,RX,UART sent
15:31:39.913,4009,ESP32,RX,core 1 is alive
15:31:39.915,4012,ESP32,RX,core 0 is alive
15:31:39.920,4016,ESP32,RX,Loop rate core1: 143 Hz
15:31:39.933,4030,ESP32,RX,UART sent
15:31:40.437,4534,ESP32,RX,UART sent
15:31:40.922,5017,ESP32,RX,Loop rate core1: 143 Hz
15:31:40.941,5038,ESP32,RX,UART sent
15:31:41.444,5541,ESP32,RX,UART sent
15:31:41.914,6010,ESP32,RX,core 1 is alive
15:31:41.922,6017,ESP32,RX,Loop rate core1: 143 Hz
15:31:41.925,6022,ESP32,RX,core 0 is alive
15:31:41.948,6045,ESP32,RX,UART sent
15:31:42.451,6548,ESP32,RX,UART sent
15:31:42.922,7017,ESP32,RX,Loop rate core1: 143 Hz
15:31:42.955,7052,ESP32,RX,UART sent
15:31:43.459,7556,ESP32,RX,UART sent
15:31:43.915,8011,ESP32,RX,core 1 is alive
15:31:43.922,8018,ESP32,RX,Loop rate core1: 143 Hz
15:31:43.935,8032,ESP32,RX,core 0 is alive
15:31:43.963,8060,ESP32,RX,UART sent
15:31:44.467,8564,ESP32,RX,UART sent
15:31:44.923,9018,ESP32,RX,Loop rate core1: 143 Hz
15:31:44.970,9067,ESP32,RX,UART sent
15:31:45.474,9571,ESP32,RX,UART sent
15:31:45.916,10012,ESP32,RX,core 1 is alive
15:31:45.924,10019,ESP32,RX,Loop rate core1: 143 Hz
15:31:45.945,10042,ESP32,RX,core 0 is alive
15:31:45.978,10075,ESP32,RX,UART sent
15:31:46.481,10578,ESP32,RX,UART sent
15:31:46.924,11019,ESP32,RX,Loop rate core1: 143 Hz
15:31:46.985,11082,ESP32,RX,UART sent
15:31:47.488,11585,ESP32,RX,UART sent
15:31:47.916,12012,ESP32,RX,core 1 is alive
15:31:47.924,12019,ESP32,RX,Loop rate core1: 143 Hz
15:31:47.955,12052,ESP32,RX,core 0 is alive
15:31:47.992,12089,ESP32,RX,UART sent
15:31:48.496,12593,ESP32,RX,UART sent
15:31:48.925,13020,ESP32,RX,Loop rate core1: 143 Hz
15:31:49.000,13097,ESP32,RX,UART sent
15:31:49.504,13601,ESP32,RX,UART sent
15:31:49.918,14014,ESP32,RX,core 1 is alive
15:31:49.926,14021,ESP32,RX,Loop rate core1: 143 Hz
15:31:49.965,14062,ESP32,RX,core 0 is alive
15:31:50.008,14105,ESP32,RX,UART sent
15:31:50.512,14609,ESP32,RX,UART sent
15:31:50.927,15022,ESP32,RX,Loop rate core1: 143 Hz
15:31:51.016,15113,ESP32,RX,UART sent
15:31:51.518,15615,ESP32,RX,UART sent
15:31:51.918,16014,ESP32,RX,core 1 is alive
15:31:51.932,16028,ESP32,RX,Loop rate core1: 144 Hz
15:31:51.975,16072,ESP32,RX,core 0 is alive
15:31:52.022,16119,ESP32,RX,UART sent
15:31:52.526,16623,ESP32,RX,UART sent
15:31:52.932,17028,ESP32,RX,Loop rate core1: 143 Hz
15:31:53.029,17126,ESP32,RX,UART sent
15:31:53.533,17630,ESP32,RX,UART sent
15:31:53.919,18015,ESP32,RX,core 1 is alive
15:31:53.933,18029,ESP32,RX,Loop rate core1: 143 Hz
15:31:53.985,18082,ESP32,RX,core 0 is alive
15:31:54.037,18134,ESP32,RX,UART sent
15:31:54.541,18638,ESP32,RX,UART sent
15:31:54.934,19030,ESP32,RX,Loop rate core1: 143 Hz
15:31:55.045,19142,ESP32,RX,UART sent
15:31:55.549,19646,ESP32,RX,UART sent
15:31:55.921,20017,ESP32,RX,core 1 is alive
15:31:55.935,20031,ESP32,RX,Loop rate core1: 143 Hz
15:31:55.995,20092,ESP32,RX,core 0 is alive
15:31:56.053,20150,ESP32,RX,UART sent
15:31:56.555,20652,ESP32,RX,UART sent
15:31:56.942,21037,ESP32,RX,Loop rate core1: 144 Hz
15:31:57.059,21156,ESP32,RX,UART sent
15:31:57.563,21660,ESP32,RX,UART sent
15:31:57.927,22023,ESP32,RX,core 1 is alive
15:31:57.942,22037,ESP32,RX,Loop rate core1: 143 Hz
15:31:58.005,22102,ESP32,RX,core 0 is alive
15:31:58.066,22163,ESP32,RX,UART sent
15:31:58.570,22667,ESP32,RX,UART sent
15:31:58.942,23038,ESP32,RX,Loop rate core1: 143 Hz
15:31:59.074,23171,ESP32,RX,UART sent
15:31:59.578,23675,ESP32,RX,UART sent
15:31:59.929,24025,ESP32,RX,core 1 is alive
15:31:59.943,24039,ESP32,RX,Loop rate core1: 143 Hz
15:32:00.015,24112,ESP32,RX,core 0 is alive
15:32:00.082,24179,ESP32,RX,UART sent
15:32:00.586,24683,ESP32,RX,UART sent
15:32:00.944,25040,ESP32,RX,Loop rate core1: 143 Hz
15:32:01.090,25187,ESP32,RX,UART sent
15:32:01.594,25691,ESP32,RX,UART sent
15:32:01.929,26025,ESP32,RX,core 1 is alive
15:32:01.950,26046,ESP32,RX,Loop rate core1: 144 Hz
15:32:02.025,26122,ESP32,RX,core 0 is alive
15:32:02.096,26193,ESP32,RX,UART sent
15:32:02.600,26697,ESP32,RX,UART sent
15:32:02.951,27047,ESP32,RX,Loop rate core1: 143 Hz
15:32:03.103,27200,ESP32,RX,UART sent
15:32:03.607,27704,ESP32,RX,UART sent
15:32:03.930,28026,ESP32,RX,core 1 is alive
15:32:03.951,28047,ESP32,RX,Loop rate core1: 143 Hz
15:32:04.035,28132,ESP32,RX,core 0 is alive
15:32:04.111,28208,ESP32,RX,UART sent
15:32:04.615,28712,ESP32,RX,UART sent
15:32:04.952,29048,ESP32,RX,Loop rate core1: 143 Hz
15:32:05.119,29216,ESP32,RX,UART sent
15:32:05.623,29720,ESP32,RX,UART sent
15:32:05.932,30028,ESP32,RX,core 1 is alive
15:32:05.953,30049,ESP32,RX,Loop rate core1: 143 Hz
15:32:06.045,30142,ESP32,RX,core 0 is alive
15:32:06.127,30224,ESP32,RX,UART sent
15:32:06.631,30728,ESP32,RX,UART sent
15:32:06.959,31055,ESP32,RX,Loop rate core1: 144 Hz
15:32:07.133,31230,ESP32,RX,UART sent
15:32:07.637,31734,ESP32,RX,UART sent
15:32:07.932,32028,ESP32,RX,core 1 is alive
15:32:07.960,32056,ESP32,RX,Loop rate core1: 143 Hz
15:32:08.055,32152,ESP32,RX,core 0 is alive
15:32:08.141,32238,ESP32,RX,UART sent
15:32:08.644,32741,ESP32,RX,UART sent
15:32:08.960,33056,ESP32,RX,Loop rate core1: 143 Hz
15:32:09.148,33245,ESP32,RX,UART sent
15:32:09.652,33749,ESP32,RX,UART sent
15:32:09.933,34029,ESP32,RX,core 1 is alive
