Waktu PC,Waktu MCU (ms),Perangkat,Jenis Komunikasi,Pesan
15:28:22.652,N/A,Unknown,RX,ets Jul 29 2019 12:21:46
15:28:22.657,N/A,Unknown,RX,"rst:0x1 (POWERON_RESET),boot:0x13 (SPI_FAST_FLASH_BOOT)"
15:28:22.660,N/A,Unknown,RX,"configsip: 0, SPIWP:0xee"
15:28:22.666,N/A,Unknown,RX,"clk_drv:0x00,q_drv:0x00,d_drv:0x00,cs0_drv:0x00,hd_drv:0x00,wp_drv:0x00"
15:28:22.668,N/A,Unknown,RX,"mode:DIO, clock div:2"
15:28:22.670,N/A,Unknown,RX,"load:0x3fff0030,len:1184"
15:28:22.672,N/A,Unknown,RX,"load:0x40078000,len:13232"
15:28:22.675,N/A,Unknown,RX,"load:0x40080400,len:3028"
15:28:22.676,N/A,Unknown,RX,entry 0x400805e4
15:28:23.231,N/A,Unknown,RX,Brownout detector was triggered
15:28:23.234,N/A,Unknown,RX,ets Jul 29 2019 12:21:46
15:28:23.239,N/A,Unknown,RX,"rst:0xc (SW_CPU_RESET),boot:0x13 (SPI_FAST_FLASH_BOOT)"
15:28:23.241,N/A,Unknown,RX,"configsip: 0, SPIWP:0xee"
15:28:23.248,N/A,Unknown,RX,"clk_drv:0x00,q_drv:0x00,d_drv:0x00,cs0_drv:0x00,hd_drv:0x00,wp_drv:0x00"
15:28:23.250,N/A,Unknown,RX,"mode:DIO, clock div:2"
15:28:23.252,N/A,Unknown,RX,"load:0x3fff0030,len:1184"
15:28:23.254,N/A,Unknown,RX,"load:0x40078000,len:13232"
15:28:23.257,N/A,Unknown,RX,"load:0x40080400,len:3028"
15:28:23.258,N/A,Unknown,RX,entry 0x400805e4
15:28:24.204,503,ESP32,RX,UART sent
15:28:24.219,517,ESP32,RX,Ping Nano: 14341 us
15:28:24.284,N/A,Unknown,RX,[INFO] Gamepad Controller Diinisialisasi. Menunggu koneksi PS3 di MAC: 00:70:07:26:53:2E
15:28:24.703,1000,ESP32,RX,Loop rate core1: 129 Hz
15:28:24.709,1007,ESP32,RX,UART sent
15:28:24.724,1021,ESP32,RX,Ping Nano: 14151 us
15:28:25.213,1511,ESP32,RX,UART sent
15:28:25.228,1525,ESP32,RX,Ping Nano: 14151 us
15:28:25.703,2001,ESP32,RX,core 0 is alive
15:28:25.706,2001,ESP32,RX,Loop rate core1: 143 Hz
15:28:25.708,2001,ESP32,RX,core 1 is alive
15:28:25.718,2016,ESP32,RX,UART sent
15:28:25.733,2030,ESP32,RX,Ping Nano: 14151 us
15:28:26.222,2520,ESP32,RX,UART sent
15:28:26.237,2534,ESP32,RX,Ping Nano: 14151 us
15:28:26.707,3003,ESP32,RX,Loop rate core1: 143 Hz
15:28:26.726,3024,ESP32,RX,UART sent
15:28:26.741,3038,ESP32,RX,Ping Nano: 14151 us
15:28:27.230,3528,ESP32,RX,UART sent
15:28:27.245,3542,ESP32,RX,Ping Nano: 14151 us
15:28:27.708,4004,ESP32,RX,Loop rate core1: 143 Hz
15:28:27.709,4004,ESP32,RX,core 1 is alive
15:28:27.713,4011,ESP32,RX,core 0 is alive
15:28:27.735,4033,ESP32,RX,UART sent
15:28:27.750,4047,ESP32,RX,Ping Nano: 14151 us
15:28:28.239,4537,ESP32,RX,UART sent
15:28:28.254,4551,ESP32,RX,Ping Nano: 14151 us
15:28:28.709,5006,ESP32,RX,Loop rate core1: 143 Hz
15:28:28.743,5041,ESP32,RX,UART sent
15:28:28.758,5055,ESP32,RX,Ping Nano: 14151 us
15:28:29.247,5545,ESP32,RX,UART sent
15:28:29.262,5559,ESP32,RX,Ping Nano: 14151 us
15:28:29.710,6007,ESP32,RX,Loop rate core1: 143 Hz
15:28:29.712,6007,ESP32,RX,core 1 is alive
15:28:29.723,6021,ESP32,RX,core 0 is alive
15:28:29.752,6050,ESP32,RX,UART sent
15:28:29.767,6064,ESP32,RX,Ping Nano: 14151 us
15:28:30.256,6554,ESP32,RX,UART sent
15:28:30.271,6568,ESP32,RX,Ping Nano: 14151 us
15:28:30.712,7009,ESP32,RX,Loop rate core1: 143 Hz
15:28:30.760,7058,ESP32,RX,UART sent
15:28:30.775,7072,ESP32,RX,Ping Nano: 14151 us
15:28:31.264,7562,ESP32,RX,UART sent
15:28:31.279,7576,ESP32,RX,Ping Nano: 14151 us
15:28:31.713,8010,ESP32,RX,Loop rate core1: 143 Hz
15:28:31.715,8010,ESP32,RX,core 1 is alive
15:28:31.733,8031,ESP32,RX,core 0 is alive
15:28:31.769,8067,ESP32,RX,UART sent
15:28:31.784,8081,ESP32,RX,Ping Nano: 14151 us
15:28:32.273,8571,ESP32,RX,UART sent
15:28:32.288,8585,ESP32,RX,Ping Nano: 14151 us
15:28:32.715,9012,ESP32,RX,Loop rate core1: 143 Hz
15:28:32.777,9075,ESP32,RX,UART sent
15:28:32.792,9089,ESP32,RX,Ping Nano: 14151 us
15:28:33.281,9579,ESP32,RX,UART sent
15:28:33.296,9593,ESP32,RX,Ping Nano: 14151 us
15:28:33.716,10013,ESP32,RX,Loop rate core1: 143 Hz
15:28:33.718,10013,ESP32,RX,core 1 is alive
15:28:33.743,10041,ESP32,RX,core 0 is alive
