Waktu PC,Waktu MCU (ms),Perangkat,Jenis Komunikasi,Pesan
14:07:55.832,N/A,Unknown,RX,ets Jul 29 2019 12:21:46
14:07:55.837,N/A,Unknown,RX,"rst:0x1 (POWERON_RESET),boot:0x13 (SPI_FAST_FLASH_BOOT)"
14:07:55.840,N/A,Unknown,RX,"configsip: 0, SPIWP:0xee"
14:07:55.846,N/A,Unknown,RX,"clk_drv:0x00,q_drv:0x00,d_drv:0x00,cs0_drv:0x00,hd_drv:0x00,wp_drv:0x00"
14:07:55.848,N/A,Unknown,RX,"mode:DIO, clock div:2"
14:07:55.850,N/A,Unknown,RX,"load:0x3fff0030,len:1184"
14:07:55.853,N/A,Unknown,RX,"load:0x40078000,len:13232"
14:07:55.855,N/A,Unknown,RX,"load:0x40080400,len:3028"
14:07:55.856,N/A,Unknown,RX,entry 0x400805e4
14:07:56.806,506,ESP32,RX,UART sent
14:07:56.820,521,ESP32,RX, ms
14:07:56.891,N/A,Unknown,RX,[INFO] Gamepad Controller Diinisialisasi. Menunggu koneksi PS3 di MAC: 00:70:07:26:53:2E
14:07:57.306,1004,ESP32,RX,Loop rate core1: 130 Hz
14:07:57.312,1011,ESP32,RX,UART sent
14:07:57.325,1025,ESP32,RX, ms
14:07:57.817,1516,ESP32,RX,UART sent
14:07:57.830,1530,ESP32,RX, ms
14:07:58.301,2000,ESP32,RX,core 1 is alive
14:07:58.309,2007,ESP32,RX,Loop rate core1: 143 Hz
14:07:58.311,2009,ESP32,RX,core 0 is alive
14:07:58.322,2021,ESP32,RX,UART sent
14:07:58.335,2035,ESP32,RX, ms
14:07:58.827,2526,ESP32,RX,UART sent
14:07:58.840,2540,ESP32,RX, ms
14:07:59.312,3010,ESP32,RX,Loop rate core1: 143 Hz
14:07:59.332,3031,ESP32,RX,UART sent
14:07:59.345,3045,ESP32,RX, ms
14:07:59.837,3536,ESP32,RX,UART sent
14:07:59.850,3550,ESP32,RX, ms
14:08:00.306,4005,ESP32,RX,core 1 is alive
14:08:00.314,4012,ESP32,RX,Loop rate core1: 143 Hz
14:08:00.319,4019,ESP32,RX,core 0 is alive
14:08:00.341,4040,ESP32,RX,UART sent
14:08:00.354,4054,ESP32,RX, ms
14:08:00.846,4545,ESP32,RX,UART sent
14:08:00.859,4559,ESP32,RX, ms
14:08:01.317,5015,ESP32,RX,Loop rate core1: 143 Hz
14:08:01.351,5050,ESP32,RX,UART sent
14:08:01.364,5064,ESP32,RX, ms
14:08:01.856,5555,ESP32,RX,UART sent
14:08:01.869,5569,ESP32,RX, ms
14:08:02.312,6011,ESP32,RX,core 1 is alive
14:08:02.320,6018,ESP32,RX,Loop rate core1: 143 Hz
14:08:02.330,6029,ESP32,RX,core 0 is alive
14:08:02.361,6060,ESP32,RX,UART sent
14:08:02.374,6074,ESP32,RX, ms
14:08:02.866,6565,ESP32,RX,UART sent
14:08:02.879,6579,ESP32,RX, ms
14:08:03.323,7021,ESP32,RX,Loop rate core1: 143 Hz
14:08:03.371,7070,ESP32,RX,UART sent
14:08:03.384,7084,ESP32,RX, ms
14:08:03.876,7575,ESP32,RX,UART sent
14:08:03.889,7589,ESP32,RX, ms
14:08:04.318,8017,ESP32,RX,core 1 is alive
14:08:04.326,8024,ESP32,RX,Loop rate core1: 143 Hz
14:08:04.339,8039,ESP32,RX,core 0 is alive
14:08:04.381,8080,ESP32,RX,UART sent
14:08:04.394,8094,ESP32,RX, ms
14:08:04.886,8585,ESP32,RX,UART sent
14:08:04.899,8599,ESP32,RX, ms
14:08:05.328,9026,ESP32,RX,Loop rate core1: 143 Hz
14:08:05.390,9089,ESP32,RX,UART sent
14:08:05.403,9103,ESP32,RX, ms
14:08:05.895,9594,ESP32,RX,UART sent
14:08:05.908,9608,ESP32,RX, ms
14:08:06.323,10022,ESP32,RX,core 1 is alive
14:08:06.331,10029,ESP32,RX,Loop rate core1: 143 Hz
14:08:06.350,10049,ESP32,RX,core 0 is alive
14:08:06.400,10099,ESP32,RX,UART sent
14:08:06.413,10113,ESP32,RX, ms
14:08:06.905,10604,ESP32,RX,UART sent
14:08:06.918,10618,ESP32,RX, ms
14:08:07.334,11032,ESP32,RX,Loop rate core1: 143 Hz
14:08:07.410,11109,ESP32,RX,UART sent
14:08:07.423,11123,ESP32,RX, ms
14:08:07.914,11613,ESP32,RX,UART sent
14:08:07.927,11627,ESP32,RX, ms
14:08:08.328,12027,ESP32,RX,core 1 is alive
14:08:08.336,12034,ESP32,RX,Loop rate core1: 143 Hz
14:08:08.360,12059,ESP32,RX,core 0 is alive
14:08:08.419,12118,ESP32,RX,UART sent
14:08:08.432,12132,ESP32,RX, ms
14:08:08.924,12623,ESP32,RX,UART sent
14:08:08.938,12637,ESP32,RX, ms
14:08:09.339,13037,ESP32,RX,Loop rate core1: 143 Hz
14:08:09.429,13128,ESP32,RX,UART sent
14:08:09.442,13142,ESP32,RX, ms
14:08:09.934,13633,ESP32,RX,UART sent
14:08:09.947,13647,ESP32,RX, ms
14:08:10.334,14033,ESP32,RX,core 1 is alive
14:08:10.342,14040,ESP32,RX,Loop rate core1: 143 Hz
14:08:10.370,14069,ESP32,RX,core 0 is alive
14:08:10.439,14138,ESP32,RX,UART sent
14:08:10.452,14152,ESP32,RX, ms
14:08:10.944,14643,ESP32,RX,UART sent
14:08:10.957,14657,ESP32,RX, ms
14:08:11.345,15043,ESP32,RX,Loop rate core1: 143 Hz
14:08:11.449,15148,ESP32,RX,UART sent
14:08:11.462,15162,ESP32,RX, ms
14:08:11.954,15653,ESP32,RX,UART sent
14:08:11.967,15667,ESP32,RX, ms
14:08:12.340,16039,ESP32,RX,core 1 is alive
14:08:12.348,16046,ESP32,RX,Loop rate core1: 143 Hz
14:08:12.380,16079,ESP32,RX,core 0 is alive
14:08:12.459,16158,ESP32,RX,UART sent
14:08:12.472,16172,ESP32,RX, ms
14:08:12.964,16663,ESP32,RX,UART sent
14:08:12.977,16677,ESP32,RX, ms
14:08:13.351,17049,ESP32,RX,Loop rate core1: 143 Hz
14:08:13.469,17168,ESP32,RX,UART sent
14:08:13.482,17182,ESP32,RX, ms
14:08:13.974,17673,ESP32,RX,UART sent
14:08:13.987,17687,ESP32,RX, ms
14:08:14.346,18045,ESP32,RX,core 1 is alive
14:08:14.354,18052,ESP32,RX,Loop rate core1: 143 Hz
14:08:14.390,18089,ESP32,RX,core 0 is alive
14:08:14.479,18178,ESP32,RX,UART sent
14:08:14.492,18192,ESP32,RX, ms
14:08:14.984,18683,ESP32,RX,UART sent
14:08:14.997,18697,ESP32,RX, ms
14:08:15.357,19055,ESP32,RX,Loop rate core1: 143 Hz
14:08:15.489,19188,ESP32,RX,UART sent
14:08:15.502,19202,ESP32,RX, ms
14:08:15.993,19693,ESP32,RX,UART sent
14:08:16.007,19707,ESP32,RX, ms
14:08:16.352,20051,ESP32,RX,core 1 is alive
14:08:16.360,20058,ESP32,RX,Loop rate core1: 143 Hz
14:08:16.400,20099,ESP32,RX,core 0 is alive
14:08:16.499,20198,ESP32,RX,UART sent
14:08:16.512,20212,ESP32,RX, ms
14:08:17.004,20703,ESP32,RX,UART sent
14:08:17.017,20717,ESP32,RX, ms
14:08:17.363,21061,ESP32,RX,Loop rate core1: 143 Hz
14:08:17.509,21208,ESP32,RX,UART sent
14:08:17.522,21222,ESP32,RX, ms
14:08:18.014,21713,ESP32,RX,UART sent
14:08:18.027,21727,ESP32,RX, ms
14:08:18.357,22056,ESP32,RX,core 1 is alive
14:08:18.365,22063,ESP32,RX,Loop rate core1: 143 Hz
14:08:18.410,22109,ESP32,RX,core 0 is alive
14:08:18.518,22217,ESP32,RX,UART sent
14:08:18.531,22231,ESP32,RX, ms
