Waktu PC,Waktu MCU (ms),Perangkat,Jenis Komunikasi,Pesan
14:14:50.190,N/A,Unknown,RX,ets Jul 29 2019 12:21:46
14:14:50.195,N/A,Unknown,RX,"rst:0x1 (POWERON_RESET),boot:0x13 (SPI_FAST_FLASH_BOOT)"
14:14:50.198,N/A,Unknown,RX,"configsip: 0, SPIWP:0xee"
14:14:50.203,N/A,Unknown,RX,"clk_drv:0x00,q_drv:0x00,d_drv:0x00,cs0_drv:0x00,hd_drv:0x00,wp_drv:0x00"
14:14:50.205,N/A,Unknown,RX,"mode:DIO, clock div:2"
14:14:50.207,N/A,Unknown,RX,"load:0x3fff0030,len:1184"
14:14:50.210,N/A,Unknown,RX,"load:0x40078000,len:13232"
14:14:50.212,N/A,Unknown,RX,"load:0x40080400,len:3028"
14:14:50.214,N/A,Unknown,RX,entry 0x400805e4
14:14:51.159,502,ESP32,RX,UART sent
14:14:51.174,517,ESP32,RX, ms
14:14:51.251,N/A,Unknown,RX,[INFO] Gamepad Controller Diinisialisasi. Menunggu koneksi PS3 di MAC: 00:70:07:26:53:2E
14:14:51.663,1005,ESP32,RX,UART sent
14:14:51.666,1006,ESP32,RX,Loop rate core1: 130 Hz
14:14:51.678,1020,ESP32,RX, ms
14:14:52.168,1510,ESP32,RX,UART sent
14:14:52.182,1524,ESP32,RX, ms
14:14:52.660,2001,ESP32,RX,core 1 is alive
14:14:52.667,2008,ESP32,RX,Loop rate core1: 143 Hz
14:14:52.670,2012,ESP32,RX,core 0 is alive
14:14:52.673,2015,ESP32,RX,UART sent
14:14:52.687,2029,ESP32,RX, ms
14:14:53.178,2520,ESP32,RX,UART sent
14:14:53.191,2534,ESP32,RX, ms
14:14:53.670,3011,ESP32,RX,Loop rate core1: 143 Hz
14:14:53.683,3025,ESP32,RX,UART sent
14:14:53.697,3039,ESP32,RX, ms
14:14:54.188,3530,ESP32,RX,UART sent
14:14:54.202,3544,ESP32,RX, ms
14:14:54.664,4006,ESP32,RX,core 1 is alive
14:14:54.672,4013,ESP32,RX,Loop rate core1: 143 Hz
14:14:54.680,4022,ESP32,RX,core 0 is alive
14:14:54.692,4034,ESP32,RX,UART sent
14:14:54.706,4048,ESP32,RX, ms
14:14:55.197,4539,ESP32,RX,UART sent
14:14:55.210,4553,ESP32,RX, ms
14:14:55.675,5016,ESP32,RX,Loop rate core1: 143 Hz
14:14:55.702,5044,ESP32,RX,UART sent
14:14:55.716,5058,ESP32,RX, ms
14:14:56.207,5549,ESP32,RX,UART sent
14:14:56.221,5563,ESP32,RX, ms
14:14:56.670,6012,ESP32,RX,core 1 is alive
14:14:56.678,6019,ESP32,RX,Loop rate core1: 143 Hz
14:14:56.690,6032,ESP32,RX,core 0 is alive
14:14:56.712,6054,ESP32,RX,UART sent
14:14:56.726,6068,ESP32,RX, ms
14:14:57.248,6558,ESP32,RX,UART sent
14:14:57.289,6572,ESP32,RX, ms
14:14:57.680,7021,ESP32,RX,Loop rate core1: 143 Hz
14:14:57.721,7063,ESP32,RX,UART sent
14:14:57.735,7077,ESP32,RX, ms
14:14:58.226,7568,ESP32,RX,UART sent
14:14:58.239,7582,ESP32,RX, ms
14:14:58.675,8017,ESP32,RX,core 1 is alive
14:14:58.683,8024,ESP32,RX,Loop rate core1: 143 Hz
14:14:58.700,8042,ESP32,RX,core 0 is alive
14:14:58.731,8073,ESP32,RX,UART sent
14:14:58.744,8087,ESP32,RX, ms
14:14:59.236,8578,ESP32,RX,UART sent
14:14:59.250,8592,ESP32,RX, ms
14:14:59.686,9027,ESP32,RX,Loop rate core1: 143 Hz
14:14:59.741,9083,ESP32,RX,UART sent
14:14:59.754,9097,ESP32,RX, ms
14:15:00.246,9588,ESP32,RX,UART sent
14:15:00.259,9602,ESP32,RX, ms
14:15:00.681,10023,ESP32,RX,core 1 is alive
14:15:00.689,10030,ESP32,RX,Loop rate core1: 143 Hz
14:15:00.710,10052,ESP32,RX,core 0 is alive
14:15:00.751,10093,ESP32,RX,UART sent
14:15:00.764,10107,ESP32,RX, ms
14:15:01.256,10598,ESP32,RX,UART sent
14:15:01.269,10612,ESP32,RX, ms
14:15:01.692,11033,ESP32,RX,Loop rate core1: 143 Hz
14:15:01.761,11103,ESP32,RX,UART sent
14:15:01.774,11117,ESP32,RX, ms
14:15:02.265,11607,ESP32,RX,UART sent
14:15:02.279,11621,ESP32,RX, ms
14:15:02.686,12028,ESP32,RX,core 1 is alive
14:15:02.694,12035,ESP32,RX,Loop rate core1: 143 Hz
14:15:02.720,12062,ESP32,RX,core 0 is alive
14:15:02.770,12112,ESP32,RX,UART sent
14:15:02.783,12126,ESP32,RX, ms
14:15:03.275,12617,ESP32,RX,UART sent
14:15:03.288,12631,ESP32,RX, ms
14:15:03.697,13038,ESP32,RX,Loop rate core1: 143 Hz
14:15:03.780,13122,ESP32,RX,UART sent
14:15:03.794,13136,ESP32,RX, ms
14:15:04.285,13627,ESP32,RX,UART sent
14:15:04.299,13641,ESP32,RX, ms
14:15:04.692,14034,ESP32,RX,core 1 is alive
14:15:04.700,14041,ESP32,RX,Loop rate core1: 143 Hz
14:15:04.730,14072,ESP32,RX,core 0 is alive
14:15:04.790,14132,ESP32,RX,UART sent
14:15:04.803,14146,ESP32,RX, ms
14:15:05.295,14637,ESP32,RX,UART sent
14:15:05.309,14651,ESP32,RX, ms
