Waktu PC,Waktu MCU (ms),Perangkat,Jenis Komunikasi,Pesan
14:16:22.991,N/A,Unknown,RX,RT sent
14:16:22.993,N/A,Unknown,RX,RT sent
14:16:22.994,N/A,Unknown,RX,RT sent
14:16:22.996,N/A,Unknown,RX,RT sent
14:16:22.997,N/A,Unknown,RX,RT sent
14:16:22.999,N/A,Unknown,RX,RT sent
14:16:23.000,N/A,Unknown,RX,RT sent
14:16:23.002,N/A,Unknown,RX,RT sent
14:16:23.004,N/A,Unknown,RX,RT sent
14:16:23.005,N/A,Unknown,RX,RT sent
14:16:23.007,N/A,Unknown,RX,RT sent
14:16:23.008,N/A,Unknown,RX,RT sent
14:16:23.009,N/A,Unknown,RX,RT sent
14:16:23.010,N/A,Unknown,RX,RT sent
14:16:23.012,N/A,Unknown,RX,RT sent
14:16:23.013,N/A,Unknown,RX,RT sent
14:16:23.014,N/A,Unknown,RX,RT sent
14:16:23.015,N/A,Unknown,RX,RT sent
14:16:23.016,N/A,Unknown,RX,RT sent
14:16:23.017,N/A,Unknown,RX,RT sent
14:16:23.019,N/A,Unknown,RX,RT sent
14:16:23.020,N/A,Unknown,RX,RT sent
14:16:23.021,N/A,Unknown,RX,RT sent
14:16:23.023,N/A,Unknown,RX,RT sent
14:16:23.024,N/A,Unknown,RX,RT sent
14:16:23.025,N/A,Unknown,RX,RT sent
14:16:23.026,N/A,Unknown,RX,RT sent
14:16:23.027,N/A,Unknown,RX,RT sent
14:16:23.028,N/A,Unknown,RX,RT sent
14:16:23.029,N/A,Unknown,RX,RT sent
14:16:23.030,N/A,Unknown,RX,RT sent
14:16:23.031,N/A,Unknown,RX,RT sent
14:16:23.032,N/A,Unknown,RX,RT sent
14:16:23.033,N/A,Unknown,RX,RT sent
14:16:23.034,N/A,Unknown,RX,RT sent
14:16:23.036,N/A,Unknown,RX,RT sent
14:16:23.037,N/A,Unknown,RX,RT sent
14:16:23.038,N/A,Unknown,RX,RT sent
14:16:23.039,N/A,Unknown,RX,RT sent
14:16:23.041,N/A,Unknown,RX,RT sent
14:16:23.042,N/A,Unknown,RX,RT sent
14:16:23.043,N/A,Unknown,RX,RT sent
14:16:23.044,N/A,Unknown,RX,RT sent
14:16:23.046,N/A,Unknown,RX,RT sent
14:16:23.047,N/A,Unknown,RX,RT sent
14:16:23.047,N/A,Unknown,RX,RT sent
14:16:23.048,N/A,Unknown,RX,RT sent
14:16:23.050,N/A,Unknown,RX,RT sent
14:16:23.051,N/A,Unknown,RX,RT sent
14:16:23.052,N/A,Unknown,RX,RT sent
14:16:23.054,N/A,Unknown,RX,RT sent
14:16:23.055,N/A,Unknown,RX,RT sent
14:16:23.056,N/A,Unknown,RX,RT sent
14:16:23.057,N/A,Unknown,RX,RT sent
14:16:23.058,N/A,Unknown,RX,RT sent
14:16:23.059,N/A,Unknown,RX,RT sent
14:16:23.060,N/A,Unknown,RX,RT sent
14:16:23.062,N/A,Unknown,RX,RT sent
14:16:23.063,N/A,Unknown,RX,RT sent
